title,min,max,center,mean,all_years,used_expressions,ignored_expressions
"GAG250: Eine kurze Geschichte der Bluttransfusion
",1291,1899,1595,1715,"[1291, 1800, 1899, 1873]","[""dieser Woche"", ""19. Jahrhunderts"", ""1873""]",[]
"GAG249: Das Malireich und die Pilgerreise des vielleicht reichsten Mannes der Geschichte
",1300,1399,1349,1349,"[1300, 1399]","[""14. Jahrhundert""]",[]
"GAG248: Der Venustransit von 1761/69 und das erste wissenschaftliche Großprojekt
",1761,1769,1765,1763,"[1761, 1769, 1761]","[""1761"", ""69"", ""Jahr 1761""]",[]
"GAG247: Der Emu Krieg von 1932
",1932,1932,1932,1932,"[1932, 1932]","[""1932"", ""Jahr 1932""]",[]
"GAG246: John Law und die Mississippi-Blase
",1715,1715,1715,1715,[1715],"[""1715""]","[""bald""]"
"GAG245: Operation Paul Bunyan
",1976,1976,1976,1976,[1976],"[""Jahr 1976""]",[]
"GAG244: Die Mühle von Auriol und warum ihre Zerstörung eine Besetzung Frankreichs verhindert hat
",1500,1599,1549,1545,"[1500, 1599, 1536]","[""16. Jahrhundert"", ""1536""]","[""wenige Monate später""]"
"GAG243: Aeneas Coffey und eine kleine Geschichte des irischen Whiskeys
",1291,1899,1595,1705,"[1291, 1800, 1899, 1831]","[""dieser Woche"", ""19. Jahrhunderts"", ""Jahr 1831""]","[""heutzutage""]"
"GAG242: Eine kurze Geschichte der Olympischen Spiele (der Neuzeit)
",1800,1948,1874,1892,"[1800, 1899, 1912, 1948, 1904]","[""19. Jahrhunderts"", ""1912"", ""1948"", ""1904""]",[]
"GAG241: General Königsmarck und der größte Kunstraub aller Zeiten
",1648,1648,1648,1648,[1648],"[""Sommer des Jahres 1648""]",[]
"GAG240: René Blondlot und die Entdeckung der N-Strahlen
",1900,1999,1949,1934,"[1903, 1900, 1999]","[""Jahr 1903"", ""20. Jahrhunderts""]","[""bald"", ""bald""]"
"GAG239: Die Zabern-Affäre
",1900,1999,1949,1937,"[1900, 1999, 1913]","[""20. Jahrhunderts"", ""Oktober 1913""]",[]
"GAG238: Kurze Geschichten ausgestorbener Berufe
"
"GAG237: Friedrich Anton Mesmer und der Animalische Magnetismus
",1700,1799,1749,1759,"[1700, 1799, 1778]","[""18. Jahrhundert"", ""Jahr 1778""]","[""heute""]"
"GAG236: Monopoly – Die Geschichte eines Brettspiels
",1904,1904,1904,1904,[1904],"[""Jahr 1904""]","[""heute""]"
"GAG235: Die Quarzkrise
",1900,1999,1949,1962,"[1900, 1999, 1970, 1979]","[""20. Jahrhundert"", ""den 1970er Jahren""]",[]
"GAG234: Das bekannteste Parfüm der Welt und seine russische Vorgeschichte
",1900,1999,1949,1939,"[1900, 1999, 1920]","[""20. Jahrhunderts"", ""1920""]",[]
"GAG233: Norton I., Kaiser der USA
",1291,1899,1595,1710,"[1291, 1800, 1899, 1852]","[""diese Woche"", ""19. Jahrhunderts"", ""Jahr 1852""]",[]
"GAG232: Ein Mordfall und das umfangreichste Wörterbuch der englischen Sprache
",1850,1859,1854,1854,"[1850, 1859]","[""den 1850er-Jahre""]","[""heute""]"
"GAG231: Die Große Enttäuschung von 1844
",1800,1899,1849,1846,"[1844, 1800, 1899, 1844, 1844]","[""1844"", ""19. Jahrhunderts"", ""1844"", ""1844""]",[]
"GAG230: Die Tendaguru-Expedition und das größte Dinosaurierskelett der Welt
",1900,1999,1949,1930,"[1900, 1999, 1909, 1913]","[""20. Jahrhunderts"", ""1909"", ""1913""]",[]
"GAG229: Elisabeth Báthory, die (angebliche) Blutgräfin
",1600,1699,1649,1636,"[1600, 1699, 1610]","[""17. Jahrhundert"", ""Jahr 1610""]",[]
"GAG228: Berliner Blau – die Erfindung einer Farbe
",1706,1706,1706,1706,[1706],"[""Jahr 1706""]","[""heute""]"
"GAG227: Die unsterbliche Henrietta Lacks
",1900,1999,1949,1949,"[1900, 1999]","[""20. Jahrhunderts""]",[]
"GAG226: Der Untergang der Batavia
",1628,1628,1628,1628,[1628],"[""Oktober 1628""]",[]
"GAG225: Die Rundfahrt der Schlachtfelder
",1919,1919,1919,1919,[1919],"[""Jahr 1919""]",[]
"GAG224: Die Balmis-Expedition und eine kurze Geschichte der Pockenimpfung
",1798,1899,1848,1825,"[1800, 1899, 1798, 1803]","[""19. Jahrhunderts"", ""1798"", ""1803""]",[]
"GAG223: Ramen und die Transformation Japans
"
"GAG222: Das Voynich-Manuskript
"
"GAG221: Hans Staden - ein Landsknecht bei den Menschenfressern
",1500,1599,1549,1549,"[1500, 1599]","[""16. Jahrhundert""]",[]
"GAG220: Eine kurze Geschichte der Rohrpost
",1900,1900,1900,1900,[1900],"[""1900""]","[""Heute""]"
"GAG219: Die Kotze-Affäre
",1800,1900,1850,1872,"[1800, 1899, 1900, 1891]","[""19. Jahrhunderts"", ""Jänner"", ""Jahres 1891""]",[]
"GAG218: Die Pazzi-Verschwörung und der Aufstieg der Medici
",1478,1478,1478,1478,"[1478, 1478]","[""26. April 1478"", ""April""]",[]
"GAG217: Wie Joseph Haydn den Kopf verlor
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG216: Napoleon II. – Vom König von Rom zum Herzog von Reichstadt
",1940,1940,1940,1940,[1940],"[""1940""]","[""einige Jahrzehnte später"", ""wenige Jahre später""]"
"GAG215: Wojtek, polnischer Soldatenbär
"
"GAG214: Hedy Lamarr – Hollywoodstar und Erfinderin
",1930,2018,1974,1973,"[1930, 1939, 1941, 1997, 2018, 2018]","[""1930er-Jahre"", ""1941"", ""1997"", ""2018"", ""9. November""]","[""heute""]"
"GAG213: Tom Morris und eine kleine Geschichte des Golfsports
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]","[""heute""]"
"GAG212: Eine kleine Geschichte der Sternbilder
",1900,1999,1949,1949,"[1900, 1999]","[""20. Jahrhundert""]","[""heute""]"
"GAG211: Griechisches Feuer
",1100,1199,1149,1149,"[1100, 1199]","[""12. Jahrhundert""]",[]
"GAG210: Der Kunstfälscher Han van Meegeren
",1900,2018,1959,1961,"[1900, 1999, 2018, 1943, 1945]","[""20. Jahrhunderts"", ""Jan"", ""1943"", ""1945""]",[]
"GAG209: Cyriacus und die Erfindung der Archäologie
",1400,1499,1449,1449,"[1400, 1499]","[""15. Jahrhundert""]","[""bald""]"
"GAG208: Die kleinste Liga der Welt – Eishockey in der DDR
",1968,1990,1979,1974,"[1970, 1990, 1968, 1969]","[""1970"", ""1990"", ""1968"", ""1969""]",[]
"GAG207: William Stewart Halsted und die Chirurgie des 19. Jahrhunderts
",1800,1899,1849,1849,"[1800, 1899, 1800, 1899]","[""19. Jahrhunderts"", ""19. Jahrhunderts""]","[""heute""]"
"GAG206: Von Verliesen &amp; Drachen - ein 3W6 Crossover
"
